ITEM,AÑO,PERIODO,PARQUE ZONAL Y METROPOLITANO,UP. MAY. DE 13 a 59 AÑOS,UP.  MEN.  DE 05 a 12 AÑOS,GRAT. MEN. 0 a 4 AÑOS,GRAT. ADULTO MAYOR,GRATUIDADES OTROS,TOTAL
87,2023,NOVIEMBRE,Santa Rosa,"2,944","1,474",226,223,78,"4,945"
88,2023,NOVIEMBRE,Sinchi Roca,"41,692","19,539",454,"3,486",884,"66,055"
89,2023,DICIEMBRE,Cahuide,"8,132","3,962",0,391,105,"12,590"
90,2023,DICIEMBRE,Cápac Yupanqui,"4,620","4,179",56,434,126,"9,415"
91,2023,DICIEMBRE,Flor de Amancaes,"3,104","1,496",31,35,127,"4,793"
92,2023,DICIEMBRE,Huáscar,"40,448","16,005",689,"3,592",656,"61,390"
93,2023,DICIEMBRE,Huayna Capac,"14,977","4,788",15,451,147,"20,378"
94,2023,DICIEMBRE,Huiracocha,"23,884","7,985",57,205,231,"32,362"
95,2023,DICIEMBRE,Lloque Yupanqui,"12,569","3,746",7,789,185,"17,296"
96,2023,DICIEMBRE,Manco Cápac,"7,893","3,542",107,724,186,"12,452"
97,2023,DICIEMBRE,San Pedro,801,375,40,72,25,"1,313"
98,2023,DICIEMBRE,Santa Rosa,"2,680","1,085",190,214,70,"4,239"
99,2023,DICIEMBRE,Sinchi Roca,"32,826","13,116",546,"3,197","1,207","50,892"
TOTAL,,,,"1,626,201","734,983","18,500","92,279","39,015","2,510,978"
