GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,CLASE,RED_PRIMARIA,RED_SECUNDARIA,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LA MOLINA,150114,Desague,24619,293912,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,Agua,32969,472266,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,LURIGANCHO,150118,Desague,32594,404710,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,Agua,3126,42164,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SAN LUIS,150134,Desague,3814,64539,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,Agua,134,202823,2023,202304,20230505
GERENCIA CENTRO,CS ATE-VITARTE,LIMA,LIMA,SANTA ANITA,150137,Desague,15406,165402,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,Agua,3320,84955,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,BRENA,150105,Desague,7275,58141,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,Agua,6944,62198,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,JESUS MARIA,150113,Desague,8900,57718,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,Agua,21099,213032,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LA VICTORIA,150115,Desague,33963,184515,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,Agua,28648,395928,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,LIMA (CERCADO),150101,Desague,68868,415599,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA DEL MAR,150120,Agua,3147,69346,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,MAGDALENA DEL MAR,150120,Desague,12236,111601,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,Agua,5159,104032,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,PUEBLO LIBRE,150121,Desague,12169,26439,2023,202304,20230505
GERENCIA CENTRO,CS BRENA,LIMA,LIMA,SAN MIGUEL,150136,Agua,6000,175937,2023,202304,20230505
